# Simulated NCR wholesale prices (PHP/kg) for the last 90 days.
# market,commodity,price_php_per_kg,demand,date
Balintawak,Pechay Baguio,44,Dipping,2026-07-11
Divisoria,Pechay Baguio,48,Stable,2026-07-11
Mega Q-Mart,Pechay Baguio,58,Stable,2026-07-11
Muntinlupa,Pechay Baguio,57,Dipping,2026-07-11
Cebu Carbon,Pechay Baguio,58,Stable,2026-07-11
Baguio Public,Pechay Baguio,65,Surging,2026-07-11
Davao Bankerohan,Pechay Baguio,67,Surging,2026-07-11
Iloilo Terminal,Pechay Baguio,55,Dipping,2026-07-11
Balintawak,Cabbage (Scorpio),37,Dipping,2026-07-11
Divisoria,Cabbage (Scorpio),44,Surging,2026-07-11
Mega Q-Mart,Cabbage (Scorpio),47,Stable,2026-07-11
Muntinlupa,Cabbage (Scorpio),49,Stable,2026-07-11
Cebu Carbon,Cabbage (Scorpio),50,Rising,2026-07-11
Baguio Public,Cabbage (Scorpio),53,Rising,2026-07-11
Davao Bankerohan,Cabbage (Scorpio),55,Surging,2026-07-11
Iloilo Terminal,Cabbage (Scorpio),50,Stable,2026-07-11
Balintawak,Carrots,91,Rising,2026-07-11
Divisoria,Carrots,93,Surging,2026-07-11
Mega Q-Mart,Carrots,101,Stable,2026-07-11
Muntinlupa,Carrots,96,Dipping,2026-07-11
Cebu Carbon,Carrots,110,Rising,2026-07-11
Baguio Public,Carrots,99,Stable,2026-07-11
Davao Bankerohan,Carrots,117,Surging,2026-07-11
Iloilo Terminal,Carrots,97,Dipping,2026-07-11
Balintawak,Broccoli,133,Stable,2026-07-11
Divisoria,Broccoli,140,Rising,2026-07-11
Mega Q-Mart,Broccoli,163,Stable,2026-07-11
Muntinlupa,Broccoli,171,Rising,2026-07-11
Cebu Carbon,Broccoli,150,Dipping,2026-07-11
Baguio Public,Broccoli,172,Rising,2026-07-11
Davao Bankerohan,Broccoli,176,Rising,2026-07-11
Iloilo Terminal,Broccoli,179,Surging,2026-07-11
Balintawak,Tomato,67,Stable,2026-07-11
